,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Alomomola,594,470,165,75,80,40,45,65,False,19,13,Caring Pokémon,92,99,195,5,14,15,False,False,False
Joltik,595,319,50,47,50,57,50,65,False,1,4,Attaching Pokémon,34,278,252,5,2,12,False,False,False
Galvantula,596,472,70,77,60,97,60,108,False,1,4,EleSpider Pokémon,34,278,252,5,2,12,False,False,False
Ferroseed,597,305,44,50,91,24,86,10,False,10,18,Thorn Seed Pokémon,114,153,153,5,8,10,False,False,False
Ferrothorn,598,489,74,94,131,54,116,20,False,10,18,Thorn Pod Pokémon,114,153,8,5,8,10,False,False,False
Klink,599,300,40,55,70,45,60,30,False,18,13,Gear Pokémon,167,138,28,5,10,12,False,False,False
Klang,600,440,60,80,95,70,85,50,False,18,13,Gear Pokémon,167,138,28,5,10,12,False,False,False
Klinklang,601,520,60,100,115,70,85,90,False,18,13,Gear Pokémon,167,138,28,5,10,12,False,False,False
Tynamo,602,275,35,55,40,45,40,60,False,4,13,EleFish Pokémon,120,153,153,5,1,12,False,False,False
Eelektrik,603,405,65,85,70,75,70,40,False,4,13,EleFish Pokémon,120,153,153,5,1,12,False,False,False
Eelektross,604,515,85,115,80,105,80,50,False,4,13,EleFish Pokémon,120,153,153,5,1,12,False,False,False
Elgyem,605,335,55,55,55,85,55,30,False,16,13,Cerebral Pokémon,262,257,5,5,9,12,False,False,False
Beheeyem,606,485,75,75,75,125,95,40,False,16,13,Cerebral Pokémon,262,257,5,5,9,12,False,False,False
Litwick,607,275,50,30,55,65,55,20,False,9,7,Candle Pokémon,68,66,108,5,1,12,False,False,False
Lampent,608,370,60,40,60,95,60,55,False,9,7,Lamp Pokémon,68,66,108,5,1,12,False,False,False
Chandelure,609,520,60,55,90,145,90,80,False,9,7,Luring Pokémon,68,66,108,5,1,12,False,False,False
Axew,610,320,46,87,60,30,40,57,False,3,13,Tusk Pokémon,197,141,278,5,4,11,False,False,False
Fraxure,611,410,66,117,70,40,50,67,False,3,13,Axe Jaw Pokémon,197,141,278,5,4,11,False,False,False
Haxorus,612,540,76,147,90,60,70,97,False,3,13,Axe Jaw Pokémon,197,141,278,5,4,11,False,False,False
Cubchoo,613,305,55,70,40,60,40,40,False,12,13,Chill Pokémon,226,224,191,5,6,12,False,False,False
Beartic,614,505,95,130,80,70,80,50,False,12,13,Freezing Pokémon,226,224,254,5,6,12,False,False,False
Cryogonal,615,515,80,50,50,95,135,105,False,12,13,Crystallizing Pokémon,120,153,153,5,10,12,False,False,False
Shelmet,616,305,50,40,85,40,65,25,False,1,13,Snail Pokémon,99,218,158,5,2,12,False,False,False
Accelgor,617,495,80,70,40,100,60,145,False,1,13,Shell Out Pokémon,99,244,277,5,2,12,False,False,False
Stunfisk,618,471,109,66,84,81,99,32,False,11,4,Trap Pokémon,238,124,206,5,1,14,False,False,False
Stunfisk(Galarian Stunfisk),618,471,109,81,99,66,84,32,False,11,18,Trap Pokémon,137,153,153,8,1,14,False,False,False
Mienfoo,619,350,45,85,50,55,50,65,False,6,13,Martial Arts Pokémon,110,195,193,5,6,9,False,False,False
Mienshao,620,510,65,125,60,95,60,105,False,6,13,Martial Arts Pokémon,110,195,193,5,6,9,False,False,False
Druddigon,621,485,77,120,90,60,90,48,False,3,13,Cave Pokémon,200,217,141,5,4,11,False,False,False
Golett,622,303,59,74,50,35,50,35,False,11,9,Automaton Pokémon,115,118,152,5,10,12,False,False,False
Golurk,623,483,89,124,80,55,80,55,False,11,9,Automaton Pokémon,115,118,152,5,10,12,False,False,False
Pawniard,624,340,45,85,70,40,40,60,False,2,18,Sharp Blade Pokémon,49,110,175,5,9,12,False,False,False
Bisharp,625,490,65,125,100,60,70,70,False,2,18,Sword Blade Pokémon,49,110,175,5,9,12,False,False,False
Bouffalant,626,490,95,110,95,40,95,55,False,14,13,Bash Buffalo Pokémon,193,207,231,5,6,12,False,False,False
Rufflet,627,350,70,83,50,37,50,60,False,14,8,Eaglet Pokémon,117,217,98,5,7,12,False,False,False
Braviary,628,510,100,123,75,57,75,80,False,14,8,Valiant Pokémon,117,217,49,5,7,12,False,False,False
Braviary(Hisuian Braviary),628,510,110,83,70,112,70,65,False,16,8,Valiant Pokémon,117,217,266,5,7,12,False,False,False
Vullaby,629,370,70,55,75,45,65,60,False,2,8,Diapered Pokémon,22,158,289,5,7,12,False,False,False
Mandibuzz,630,510,110,65,105,55,95,80,False,2,8,Bone Vulture Pokémon,22,158,289,5,7,12,False,False,False
Heatmor,631,484,85,97,66,105,66,65,False,7,13,Anteater Pokémon,80,68,291,5,6,12,False,False,False
Durant,632,484,58,109,112,48,48,109,False,1,18,Iron Ant Pokémon,252,98,274,5,2,12,False,False,False
Deino,633,300,52,65,50,45,50,38,False,2,3,Irate Pokémon,98,153,153,5,4,12,False,False,False
Zweilous,634,420,72,85,70,65,70,58,False,2,3,Hostile Pokémon,98,153,153,5,4,12,False,False,False
Hydreigon,635,600,92,105,90,125,90,98,False,2,3,Brutal Pokémon,120,153,153,5,4,12,False,False,False
Larvesta,636,360,55,85,55,50,55,60,False,1,7,Torch Pokémon,66,153,252,5,2,12,False,False,False
Volcarona,637,550,85,60,65,135,105,100,False,1,7,Sun Pokémon,66,153,252,5,2,12,False,False,False
Cobalion,638,580,91,90,129,90,72,108,False,18,6,Iron Will Pokémon,116,153,153,5,13,12,True,False,False
Terrakion,639,580,91,129,90,72,90,108,False,17,6,Cavern Pokémon,116,153,153,5,13,12,True,False,False
Virizion,640,580,91,90,72,90,129,108,False,10,6,Grassland Pokémon,116,153,153,5,13,12,True,False,False
Tornadus,641,580,79,115,70,125,80,111,False,8,13,Cyclone Pokémon,174,153,49,5,13,12,True,False,False
Tornadus(Therian Forme),641,580,79,100,80,110,90,121,False,8,13,Cyclone Pokémon,195,153,153,5,13,12,True,False,False
Thundurus,642,580,79,115,70,125,80,111,False,4,8,Bolt Strike Pokémon,174,153,49,5,13,12,True,False,False
Thundurus(Therian Forme),642,580,79,105,70,145,80,101,False,4,8,Bolt Strike Pokémon,283,153,153,5,13,12,True,False,False
Reshiram,643,680,100,120,100,150,120,90,False,3,7,Vast White Pokémon,275,153,153,5,13,12,False,True,False
Zekrom,644,680,100,150,120,120,100,90,False,3,4,Deep Black Pokémon,263,153,153,5,13,12,False,True,False
Landorus,645,600,89,125,90,115,80,101,False,11,8,Abundance Pokémon,202,153,217,5,13,12,True,False,False
Landorus(Therian Forme),645,600,89,145,90,105,80,91,False,11,8,Abundance Pokémon,112,153,153,5,13,12,True,False,False
Kyurem,646,660,125,130,90,130,90,95,False,3,12,Boundary Pokémon,175,153,153,5,13,12,False,True,False
Kyurem(White Kyurem),646,700,125,120,90,170,100,95,False,3,12,Boundary Pokémon,275,153,153,5,13,12,False,True,False
Kyurem(Black Kyurem),646,700,125,170,100,120,90,95,False,3,12,Boundary Pokémon,263,153,153,5,13,12,False,True,False
Keldeo,647,580,91,72,90,129,90,108,False,19,6,Colt Pokémon,116,153,153,5,13,12,False,False,True
Keldeo(Resolute Form),647,580,91,72,90,129,90,108,False,19,6,Colt Pokémon,116,153,153,5,13,12,False,False,True
Meloetta,648,600,100,77,77,128,128,90,False,14,16,Melody Pokémon,212,153,153,5,13,12,False,False,True
Meloetta(Pirouette Forme),648,600,100,128,90,77,77,128,False,14,6,Melody Pokémon,212,153,153,5,13,12,False,False,True
Genesect,649,600,71,120,95,120,95,99,False,1,18,Paleozoic Pokémon,53,153,153,5,13,12,False,False,True
Chespin,650,313,56,61,65,48,45,38,False,10,13,Spiny Nut Pokémon,159,153,24,6,6,12,False,False,False
Quilladin,651,405,61,78,95,56,58,57,False,10,13,Spiny Armor Pokémon,159,153,24,6,6,12,False,False,False
Chesnaught,652,530,88,107,122,74,75,64,False,10,6,Spiny Armor Pokémon,159,153,24,6,6,12,False,False,False
Fennekin,653,307,40,45,40,62,60,60,False,7,13,Fox Pokémon,23,153,131,6,6,12,False,False,False
Braixen,654,409,59,59,58,90,70,73,False,7,13,Fox Pokémon,23,153,131,6,6,12,False,False,False
Delphox,655,534,75,69,72,114,100,104,False,7,16,Fox Pokémon,23,153,131,6,6,12,False,False,False
Froakie,656,314,41,56,40,62,44,71,False,19,13,Bubble Frog Pokémon,267,153,179,6,14,12,False,False,False
Frogadier,657,405,54,63,52,83,56,97,False,19,13,Bubble Frog Pokémon,267,153,179,6,14,12,False,False,False
Greninja,658,530,72,95,67,103,71,122,False,19,2,Ninja Pokémon,267,153,179,6,14,12,False,False,False
Greninja(Ash-Greninja),658,640,72,145,67,153,71,132,False,19,2,Ninja Pokémon,18,153,153,6,14,12,False,False,False
Bunnelby,659,237,38,36,38,32,36,57,False,14,13,Digging Pokémon,165,25,96,6,6,12,False,False,False
Diggersby,660,423,85,56,77,50,77,78,False,14,11,Digging Pokémon,165,25,96,6,6,12,False,False,False
Fletchling,661,278,45,50,43,40,38,62,False,14,8,Tiny Robin Pokémon,22,153,78,6,7,12,False,False,False
Fletchinder,662,382,62,73,55,56,52,84,False,7,8,Ember Pokémon,66,153,78,6,7,12,False,False,False
Talonflame,663,499,78,81,71,74,69,126,False,7,8,Scorching Pokémon,66,153,78,6,7,12,False,False,False
Scatterbug,664,200,38,35,40,27,25,35,False,1,13,Scatterdust Pokémon,219,34,74,6,2,12,False,False,False
Spewpa,665,213,45,22,60,27,30,29,False,1,13,Scatterdust Pokémon,216,153,74,6,2,12,False,False,False
Vivillon,666,411,80,52,50,90,50,89,False,1,8,Scale Pokémon,219,34,74,6,2,12,False,False,False
Litleo,667,369,62,50,58,73,54,72,False,7,14,Lion Cub Pokémon,197,278,144,6,6,12,False,False,False
Pyroar,668,507,86,68,72,109,66,106,False,7,14,Royal Pokémon,197,278,144,6,6,12,False,False,False
Flabébé,669,303,44,38,39,61,79,42,False,5,13,Single Bloom Pokémon,70,153,256,6,5,12,False,False,False
Floette,670,371,54,45,47,75,98,52,False,5,13,Single Bloom Pokémon,70,153,256,6,5,12,False,False,False
Florges,671,552,78,65,68,112,154,75,False,5,13,Garden Pokémon,70,153,256,6,5,12,False,False,False
Skiddo,672,350,66,65,48,62,57,52,False,10,13,Mount Pokémon,207,153,84,6,6,12,False,False,False
Gogoat,673,531,123,100,62,97,81,68,False,10,13,Mount Pokémon,207,153,84,6,6,12,False,False,False
Pancham,674,348,67,82,62,46,48,43,False,6,13,Playful Pokémon,115,141,209,6,6,9,False,False,False
Pangoro,675,495,95,124,78,69,71,58,False,6,2,Daunting Pokémon,115,141,209,6,6,9,False,False,False
Furfrou,676,472,75,80,60,65,90,102,False,14,13,Poodle Pokémon,77,153,153,6,6,12,False,False,False
Espurr,677,355,62,48,54,63,60,68,False,16,13,Restraint Pokémon,117,108,160,6,6,12,False,False,False
Meowstic,678,466,74,48,76,83,81,104,False,16,13,Constraint Pokémon,117,108,174,6,6,12,False,False,False
Meowstic(Female),678,466,74,48,76,83,81,104,False,16,13,Constraint Pokémon,117,108,33,6,6,12,False,False,False
Honedge,679,325,45,80,100,35,37,28,False,18,9,Sword Pokémon,152,153,153,6,10,12,False,False,False
Doublade,680,448,59,110,150,45,49,35,False,18,9,Sword Pokémon,152,153,153,6,10,12,False,False,False
Aegislash,681,500,60,50,140,50,140,60,False,18,9,Royal Sword Pokémon,237,153,153,6,10,12,False,False,False
Aegislash(Blade Forme),681,500,60,140,50,140,50,60,False,18,9,Royal Sword Pokémon,237,153,153,6,10,12,False,False,False
Spritzee,682,341,78,52,60,63,65,23,False,5,13,Perfume Pokémon,92,153,11,6,5,12,False,False,False
Aromatisse,683,462,101,72,72,99,89,29,False,5,13,Fragrance Pokémon,92,153,11,6,5,12,False,False,False
Swirlix,684,341,62,48,66,59,57,49,False,5,13,Cotton Candy Pokémon,253,153,277,6,5,12,False,False,False
Slurpuff,685,480,82,80,86,85,75,72,False,5,13,Meringue Pokémon,253,153,277,6,5,12,False,False,False
Inkay,686,288,53,54,53,37,46,45,False,2,16,Revolving Pokémon,35,248,108,6,14,15,False,False,False
Malamar,687,482,86,92,88,68,75,73,False,2,16,Overturning Pokémon,35,248,108,6,14,15,False,False,False
Binacle,688,306,42,52,67,39,56,50,False,17,19,Two-Handed Pokémon,225,268,164,6,16,12,False,False,False
Barbaracle,689,500,72,105,115,54,86,68,False,17,19,Collective Pokémon,225,268,164,6,16,12,False,False,False
Skrelp,690,320,50,60,60,60,60,30,False,15,19,Mock Kelp Pokémon,169,170,1,6,4,14,False,False,False
Dragalge,691,494,65,75,90,97,123,44,False,15,3,Mock Kelp Pokémon,169,170,1,6,4,14,False,False,False
Clauncher,692,330,50,53,62,58,63,44,False,19,13,Water Gun Pokémon,135,153,153,6,14,16,False,False,False
Clawitzer,693,500,71,73,88,120,89,59,False,19,13,Howitzer Pokémon,135,153,153,6,14,16,False,False,False
Helioptile,694,289,44,38,33,61,43,70,False,4,14,Generator Pokémon,57,206,228,6,4,11,False,False,False
Heliolisk,695,481,62,55,52,109,94,109,False,4,14,Generator Pokémon,57,206,228,6,4,11,False,False,False
Tyrunt,696,362,58,89,77,45,45,48,False,17,3,Royal Heir Pokémon,246,153,247,6,4,11,False,False,False
Tyrantrum,697,521,82,121,119,69,59,71,False,17,3,Despot Pokémon,246,153,198,6,4,11,False,False,False
Amaura,698,362,77,59,50,67,63,46,False,17,12,Tundra Pokémon,194,153,227,6,11,12,False,False,False
Aurorus,699,521,123,77,72,99,92,58,False,17,12,Tundra Pokémon,194,153,227,6,11,12,False,False,False
Sylveon,700,525,95,65,65,110,130,60,False,5,13,Intertwining Pokémon,42,153,166,6,6,12,False,False,False
Hawlucha,701,500,78,92,75,74,63,118,False,6,8,Wrestling Pokémon,124,277,141,6,7,9,False,False,False
Dedenne,702,431,67,58,57,81,67,101,False,4,5,Antenna Pokémon,25,165,167,6,5,6,False,False,False
Carbink,703,500,50,50,150,50,150,50,False,17,5,Jewel Pokémon,28,153,247,6,5,10,False,False,False
Goomy,704,300,45,50,35,55,75,40,False,3,13,Soft Tissue Pokémon,207,99,82,6,4,12,False,False,False
Sliggoo,705,452,68,75,53,83,113,60,False,3,13,Soft Tissue Pokémon,207,99,82,6,4,12,False,False,False
Sliggoo(Hisuian Sliggoo),705,452,58,75,83,83,113,40,False,18,3,Soft Tissue Pokémon,207,218,82,6,4,12,False,False,False
Goodra,706,600,90,100,70,110,150,80,False,3,13,Dragon Pokémon,207,99,82,6,4,12,False,False,False
Goodra(Hisuian Goodra),706,600,80,100,100,110,150,60,False,18,3,Dragon Pokémon,207,218,82,6,4,12,False,False,False
Klefki,707,470,57,80,91,80,87,75,False,18,5,Key Ring Pokémon,174,153,131,6,10,12,False,False,False
Phantump,708,309,43,70,48,50,60,38,False,9,10,Stump Pokémon,149,75,91,6,1,8,False,False,False
Trevenant,709,474,85,110,76,65,82,56,False,9,10,Elder Tree Pokémon,149,75,91,6,1,8,False,False,False
Pumpkaboo,710,335,49,66,70,44,55,51,False,9,10,Pumpkin Pokémon,165,75,111,6,1,12,False,False,False
Pumpkaboo(Small Size),710,335,44,66,70,44,55,56,False,9,10,Pumpkin Pokémon,165,75,111,6,1,12,False,False,False
Pumpkaboo(Large Size),710,335,54,66,70,44,55,46,False,9,10,Pumpkin Pokémon,165,75,111,6,1,12,False,False,False
Pumpkaboo(Super Size),710,335,59,66,70,44,55,41,False,9,10,Pumpkin Pokémon,165,75,111,6,1,12,False,False,False
Gourgeist,711,494,65,90,122,58,75,84,False,9,10,Pumpkin Pokémon,165,75,111,6,1,12,False,False,False
Gourgeist(Small Size),711,494,55,85,122,58,75,99,False,9,10,Pumpkin Pokémon,165,75,111,6,1,12,False,False,False
Gourgeist(Large Size),711,494,75,95,122,58,75,69,False,9,10,Pumpkin Pokémon,165,75,111,6,1,12,False,False,False
Gourgeist(Super Size),711,494,85,100,122,58,75,54,False,9,10,Pumpkin Pokémon,165,75,111,6,1,12,False,False,False
Bergmite,712,304,55,69,85,32,35,28,False,12,13,Ice Chunk Pokémon,160,101,247,6,10,11,False,False,False
Avalugg,713,514,95,117,184,44,46,28,False,12,13,Iceberg Pokémon,160,101,247,6,10,11,False,False,False
Avalugg(Hisuian Avalugg),713,514,95,127,184,34,36,38,False,12,17,Iceberg Pokémon,246,101,247,6,10,11,False,False,False
Noibat,714,245,40,30,35,45,40,55,False,8,3,Sound Wave Pokémon,75,108,262,6,4,7,False,False,False
Noivern,715,535,85,70,80,97,80,123,False,8,3,Sound Wave Pokémon,75,108,262,6,4,7,False,False,False
Xerneas,716,680,126,131,95,131,98,99,False,5,13,Life Pokémon,64,153,153,6,13,12,False,True,False
Yveltal,717,680,126,131,95,131,98,99,False,2,8,Destruction Pokémon,45,153,153,6,13,12,False,True,False
Zygarde,718,600,108,100,121,81,95,95,False,3,11,Order Pokémon,13,153,171,6,13,12,False,True,False
Zygarde(10% Forme),718,486,54,100,71,61,85,115,False,3,11,Order Pokémon,13,153,171,6,13,12,False,True,False
Zygarde(Complete Forme),718,708,216,100,121,91,95,85,False,3,11,Order Pokémon,171,153,153,6,13,12,False,True,False
Diancie,719,600,50,100,150,100,150,50,False,17,5,Jewel Pokémon,28,153,153,6,13,12,False,False,True
Diancie(Mega Diancie),719,700,50,160,110,160,110,110,True,17,5,Jewel Pokémon,129,153,153,6,13,12,False,False,True
Hoopa,720,600,80,110,60,150,130,70,False,16,9,Mischief Pokémon,131,153,153,6,13,12,False,False,True
Hoopa(Hoopa Unbound),720,680,80,160,60,170,130,80,False,16,2,Mischief Pokémon,131,153,153,6,13,12,False,False,True
Volcanion,721,600,80,110,120,130,90,70,False,7,19,Steam Pokémon,285,153,153,6,13,12,False,False,True
Rowlet,722,320,68,55,55,50,50,42,False,10,8,Grass Quill Pokémon,159,153,128,7,7,12,False,False,False
Dartrix,723,420,78,75,75,70,70,52,False,10,8,Blade Quill Pokémon,159,153,128,7,7,12,False,False,False
Decidueye,724,530,78,107,75,100,100,70,False,10,9,Arrow Quill Pokémon,159,153,128,7,7,12,False,False,False
Decidueye(Hisuian Decidueye),724,530,88,112,80,95,95,60,False,10,6,Arrow Quill Pokémon,159,153,209,7,7,12,False,False,False
Litten,725,320,45,65,40,60,40,70,False,7,13,Fire Cat Pokémon,23,153,112,7,6,12,False,False,False
Torracat,726,420,65,85,50,80,50,90,False,7,13,Fire Cat Pokémon,23,153,112,7,6,12,False,False,False
Incineroar,727,530,95,115,90,80,90,60,False,7,2,Heel Pokémon,23,153,112,7,6,12,False,False,False
Popplio,728,320,50,54,54,66,56,40,False,19,13,Sea Lion Pokémon,267,153,127,7,6,14,False,False,False
Brionne,729,420,60,69,69,91,81,50,False,19,13,Pop Star Pokémon,267,153,127,7,6,14,False,False,False
Primarina,730,530,80,74,74,126,116,60,False,19,5,Soloist Pokémon,267,153,127,7,6,14,False,False,False
Pikipek,731,265,35,75,30,30,30,65,False,14,8,Woodpecker Pokémon,117,222,165,7,7,12,False,False,False
Trumbeak,732,355,55,85,50,40,50,75,False,14,8,Bugle Beak Pokémon,117,222,165,7,7,12,False,False,False
Toucannon,733,485,80,120,75,75,75,60,False,14,8,Cannon Pokémon,117,222,217,7,7,12,False,False,False
Yungoos,734,253,48,70,30,30,30,45,False,14,13,Loitering Pokémon,246,233,1,7,6,12,False,False,False
Gumshoos,735,418,88,110,60,55,60,45,False,14,13,Stakeout Pokémon,246,233,1,7,6,12,False,False,False
Grubbin,736,300,47,62,45,55,45,46,False,1,13,Larva Pokémon,252,153,153,7,2,12,False,False,False
Charjabug,737,400,57,82,95,55,75,36,False,1,4,Battery Pokémon,16,153,153,7,2,12,False,False,False
Vikavolt,738,500,77,70,90,145,75,43,False,1,4,Stag Beetle Pokémon,120,153,153,7,2,12,False,False,False
Crabrawler,739,338,47,82,57,42,47,63,False,6,13,Boxing Pokémon,100,115,6,7,16,12,False,False,False
Crabominable,740,478,97,132,77,62,67,43,False,6,12,Woolly Crab Pokémon,100,115,6,7,16,12,False,False,False
Oricorio,741,476,75,70,70,98,70,93,False,7,8,Dancing Pokémon,44,153,153,7,7,12,False,False,False
Oricorio(Pom-Pom Style),741,476,75,70,70,98,70,93,False,4,8,Dancing Pokémon,44,153,153,7,7,12,False,False,False
Oricorio(Pa'u Style),741,476,75,70,70,98,70,93,False,16,8,Dancing Pokémon,44,153,153,7,7,12,False,False,False
Oricorio(Sensu Style),741,476,75,70,70,98,70,93,False,9,8,Dancing Pokémon,44,153,153,7,7,12,False,False,False
Cutiefly,742,304,40,45,40,55,40,84,False,1,5,Bee Fly Pokémon,95,219,253,7,2,5,False,False,False
Ribombee,743,464,60,55,60,95,70,124,False,1,5,Bee Fly Pokémon,95,219,253,7,2,5,False,False,False
Rockruff,744,280,45,65,40,30,40,60,False,17,13,Puppy Pokémon,117,282,239,7,6,12,False,False,False
Rockruff(Own Tempo Rockruff),744,280,45,65,40,30,40,60,False,17,13,Puppy Pokémon,160,153,153,7,6,12,False,False,False
Lycanroc,745,487,75,115,65,55,65,112,False,17,13,Wolf Pokémon,117,203,239,7,6,12,False,False,False
Lycanroc(Midnight Form),745,487,85,115,75,55,75,82,False,17,13,Wolf Pokémon,117,282,152,7,6,12,False,False,False
Lycanroc(Dusk Form),745,487,75,117,65,55,65,110,False,17,13,Wolf Pokémon,268,153,153,7,6,12,False,False,False
Wishiwashi,746,175,45,20,20,25,25,40,False,19,13,Small Fry Pokémon,208,153,153,7,15,12,False,False,False
Wishiwashi(School Form),746,620,45,140,130,140,135,30,False,19,13,Small Fry Pokémon,208,153,153,7,15,12,False,False,False
Mareanie,747,305,50,53,62,43,52,45,False,15,19,Brutal Star Pokémon,136,124,195,7,14,12,False,False,False
Toxapex,748,495,50,63,152,53,142,35,False,15,19,Brutal Star Pokémon,136,124,195,7,14,12,False,False,False
Mudbray,749,385,70,100,70,45,55,45,False,11,13,Donkey Pokémon,160,236,110,7,6,12,False,False,False
Mudsdale,750,500,100,125,100,55,85,35,False,11,13,Draft Horse Pokémon,160,236,110,7,6,12,False,False,False
Dewpider,751,269,38,40,52,40,72,27,False,19,1,Water Bubble Pokémon,286,153,285,7,2,14,False,False,False
Araquanid,752,454,68,70,92,50,132,42,False,19,1,Water Bubble Pokémon,286,153,285,7,2,14,False,False,False
Fomantis,753,250,40,55,35,50,35,35,False,10,13,Sickle Grass Pokémon,119,153,35,7,8,12,False,False,False
Lurantis,754,480,70,105,90,80,90,45,False,10,13,Bloom Sickle Pokémon,119,153,35,7,8,12,False,False,False
Morelull,755,285,40,35,55,65,75,15,False,10,5,Illuminating Pokémon,104,60,190,7,8,12,False,False,False
Shiinotic,756,405,60,45,80,90,100,30,False,10,5,Illuminating Pokémon,104,60,190,7,8,12,False,False,False
Salandit,757,320,48,44,40,71,40,77,False,15,7,Toxic Lizard Pokémon,36,153,155,7,4,11,False,False,False
Salazzle,758,480,68,64,60,111,60,117,False,15,7,Toxic Lizard Pokémon,36,153,155,7,4,11,False,False,False
Stufful,759,340,70,75,50,45,50,50,False,14,6,Flailing Pokémon,71,118,42,7,6,12,False,False,False
Bewear,760,500,120,125,80,55,60,60,False,14,6,Strong Arm Pokémon,71,118,278,7,6,12,False,False,False
Bounsweet,761,210,42,30,38,30,38,32,False,10,13,Fruit Pokémon,119,155,253,7,8,12,False,False,False
Steenee,762,290,52,40,48,40,48,62,False,10,13,Fruit Pokémon,119,155,253,7,8,12,False,False,False
Tsareena,763,510,72,120,98,50,98,72,False,10,13,Fruit Pokémon,119,186,253,7,8,12,False,False,False
Comfey,764,485,51,52,90,82,110,100,False,5,13,Posy Picker Pokémon,70,273,149,7,8,12,False,False,False
Oranguru,765,490,90,60,80,90,110,60,False,14,16,Sage Pokémon,110,262,256,7,6,12,False,False,False
Passimian,766,490,100,120,90,40,60,80,False,6,13,Teamwork Pokémon,192,153,49,7,6,12,False,False,False
Wimpod,767,230,25,35,40,20,30,80,False,1,19,Turn Tail Pokémon,292,153,153,7,2,16,False,False,False
Golisopod,768,530,75,125,140,60,90,40,False,1,19,Hard Scale Pokémon,63,153,153,7,2,16,False,False,False
Sandygast,769,320,55,55,80,70,45,15,False,9,11,Sand Heap Pokémon,287,153,206,7,1,12,False,False,False
Palossand,770,480,85,75,110,100,75,35,False,9,11,Sand Castle Pokémon,287,153,206,7,1,12,False,False,False
Pyukumuku,771,410,55,60,130,30,130,5,False,19,13,Sea Cucumber Pokémon,109,153,276,7,14,12,False,False,False
Type: Null,772,534,95,95,95,95,95,59,False,14,13,Synthetic Pokémon,17,153,153,7,13,12,True,False,False
Silvally,773,570,95,95,95,95,95,95,False,14,13,Synthetic Pokémon,189,153,153,7,13,12,True,False,False
Minior,774,440,60,60,100,60,100,60,False,17,8,Meteor Pokémon,220,153,153,7,10,12,False,False,False
Minior(Core Form),774,500,60,100,60,100,60,120,False,17,8,Meteor Pokémon,220,153,153,7,10,12,False,False,False
Komala,775,480,65,115,65,75,95,65,False,14,13,Drowsing Pokémon,31,153,153,7,6,12,False,False,False
Turtonator,776,485,60,78,135,91,85,36,False,7,3,Blast Turtle Pokémon,218,153,153,7,4,11,False,False,False
Togedemaru,777,435,65,98,63,40,73,96,False,4,18,Roly-Poly Pokémon,114,123,247,7,5,6,False,False,False
Mimikyu,778,476,55,90,80,50,105,96,False,9,5,Disguise Pokémon,52,153,153,7,1,12,False,False,False
Bruxish,779,475,68,105,70,70,70,92,False,19,16,Gnash Teeth Pokémon,47,246,296,7,15,12,False,False,False
Drampa,780,485,78,60,85,135,91,36,False,14,3,Placid Pokémon,21,207,29,7,4,11,False,False,False
Dhelmise,781,517,70,131,100,86,90,40,False,9,10,Sea Creeper Pokémon,241,153,153,7,10,12,False,False,False
Jangmo-o,782,300,45,55,65,45,45,45,False,3,13,Scaly Pokémon,24,231,158,7,4,12,False,False,False
Hakamo-o,783,420,55,75,90,65,70,65,False,3,6,Scaly Pokémon,24,231,158,7,4,12,False,False,False
Kommo-o,784,600,75,110,125,100,105,85,False,3,6,Scaly Pokémon,24,231,158,7,4,12,False,False,False
Tapu Koko,785,570,70,115,85,95,75,130,False,4,5,Land Spirit Pokémon,61,153,262,7,13,12,True,False,False
Tapu Lele,786,570,70,85,75,130,115,95,False,16,5,Land Spirit Pokémon,181,153,262,7,13,12,True,False,False
Tapu Bulu,787,570,70,130,115,85,95,75,False,10,5,Land Spirit Pokémon,85,153,262,7,13,12,True,False,False
Tapu Fini,788,570,70,75,115,95,130,85,False,19,5,Land Spirit Pokémon,140,153,262,7,13,12,True,False,False
Cosmog,789,200,43,29,31,29,31,37,False,16,13,Nebula Pokémon,276,153,153,7,13,12,False,True,False
Cosmoem,790,400,43,29,131,29,131,37,False,16,13,Protostar Pokémon,247,153,153,7,13,12,False,True,False
Solgaleo,791,680,137,137,107,113,89,97,False,16,18,Sunne Pokémon,76,153,153,7,13,12,False,True,False
Lunala,792,680,137,113,89,137,107,97,False,16,9,Moone Pokémon,213,153,153,7,13,12,False,True,False
Nihilego,793,570,109,53,47,127,131,103,False,17,15,Parasite Pokémon,20,153,153,7,13,12,True,False,False
Buzzwole,794,570,107,139,139,53,53,79,False,1,6,Swollen Pokémon,20,153,153,7,13,12,True,False,False
Pheromosa,795,570,71,137,37,137,37,151,False,1,6,Lissome Pokémon,20,153,153,7,13,12,True,False,False
Xurkitree,796,570,83,89,71,173,71,83,False,4,13,Glowing Pokémon,20,153,153,7,13,12,True,False,False
Celesteela,797,570,97,101,103,107,101,61,False,18,8,Launch Pokémon,20,153,153,7,13,12,True,False,False
Kartana,798,570,59,181,131,59,31,109,False,10,18,Drawn Sword Pokémon,20,153,153,7,13,12,True,False,False
